project,vm
hd-srch-prod,solr-fusionv7-rankthd1-shard1-us-east1-a-2bkc
hd-srch-prod,solr-fusionv7-rankthd2-shard1-us-east1-a-gj2j
hd-srch-prod,solr-productv7-digitalcthd2-shard1-us-east1-a-bbvx
hd-srch-prod,solr-productv7-metadatathd1-shard1-us-east1-a-zdk5
hd-srch-prod,solr-productv7-paintthd1-shard1-us-east1-a-qtmv
hd-srch-prod,solr-productv7-paintthd2-shard1-us-east1-a-8n6p
hd-srch-prod,solr-productv7-pconceptsthd1-shard1-us-east1-a-vvbx
hd-srch-prod,solr-productv7-pconceptsthd2-shard1-us-east1-a-1q0j
hd-srch-prod,solr-productv7-pconceptsthd2-shard1-us-east1-a-64m2
hd-srch-prod,solr-productv7-pconceptsthd2-shard1-us-east1-a-9jm5
hd-srch-prod,solr-productv7-pconceptsthd2-shard1-us-east1-a-9l83
hd-srch-prod,solr-productv7-pconceptsthd2-shard1-us-east1-a-sxq8
hd-srch-prod,solr-productv7-productthd1-shard1-us-east1-a-vshj
hd-srch-prod,solr-productv7-productthd1-shard4-us-east1-a-zkd1
hd-srch-prod,solr-productv7-productthd1-shard8-us-east1-a-bwmv
hd-srch-prod,solr-productv7-productthd1-shard9-us-east1-a-3pnb
hd-srch-prod,solr-productv7-productthd2-shard1-us-east1-a-65dd
hd-srch-prod,solr-productv7-productthd2-shard1-us-east1-a-dqt8
hd-srch-prod,solr-productv7-productthd2-shard1-us-east1-a-lrxs
hd-srch-prod,solr-productv7-productthd2-shard1-us-east1-a-w6s8
hd-srch-prod,solr-productv7-productthd2-shard10-us-east1-a-6mm3
hd-srch-prod,solr-productv7-productthd2-shard10-us-east1-a-8539
hd-srch-prod,solr-productv7-productthd2-shard10-us-east1-a-hjkv
hd-srch-prod,solr-productv7-productthd2-shard10-us-east1-a-xqv0
hd-srch-prod,solr-productv7-productthd2-shard2-us-east1-a-20g9
hd-srch-prod,solr-productv7-productthd2-shard2-us-east1-a-h86q
hd-srch-prod,solr-productv7-productthd2-shard2-us-east1-a-t66n
hd-srch-prod,solr-productv7-productthd2-shard2-us-east1-a-wkqr
hd-srch-prod,solr-productv7-productthd2-shard3-us-east1-a-6jl9
hd-srch-prod,solr-productv7-productthd2-shard3-us-east1-a-94l1
hd-srch-prod,solr-productv7-productthd2-shard3-us-east1-a-jw8x
hd-srch-prod,solr-productv7-productthd2-shard3-us-east1-a-n727
hd-srch-prod,solr-productv7-productthd2-shard3-us-east1-a-v4z7
hd-srch-prod,solr-productv7-productthd2-shard4-us-east1-a-6zzn
hd-srch-prod,solr-productv7-productthd2-shard4-us-east1-a-hq8c
hd-srch-prod,solr-productv7-productthd2-shard4-us-east1-a-pmq0
hd-srch-prod,solr-productv7-productthd2-shard4-us-east1-a-r1p1
hd-srch-prod,solr-productv7-productthd2-shard4-us-east1-a-xg4k
hd-srch-prod,solr-productv7-productthd2-shard5-us-east1-a-0j2k
hd-srch-prod,solr-productv7-productthd2-shard5-us-east1-a-160b
hd-srch-prod,solr-productv7-productthd2-shard5-us-east1-a-c2j5
hd-srch-prod,solr-productv7-productthd2-shard5-us-east1-a-l792
hd-srch-prod,solr-productv7-productthd2-shard6-us-east1-a-4k1b
hd-srch-prod,solr-productv7-productthd2-shard6-us-east1-a-4lld
hd-srch-prod,solr-productv7-productthd2-shard6-us-east1-a-8flw
hd-srch-prod,solr-productv7-productthd2-shard6-us-east1-a-d73s
hd-srch-prod,solr-productv7-productthd2-shard6-us-east1-a-fj9m
hd-srch-prod,solr-productv7-productthd2-shard7-us-east1-a-19z0
hd-srch-prod,solr-productv7-productthd2-shard7-us-east1-a-6ldj
hd-srch-prod,solr-productv7-productthd2-shard7-us-east1-a-n9kf
hd-srch-prod,solr-productv7-productthd2-shard7-us-east1-a-rclp
hd-srch-prod,solr-productv7-productthd2-shard8-us-east1-a-038f
hd-srch-prod,solr-productv7-productthd2-shard8-us-east1-a-dcf0
hd-srch-prod,solr-productv7-productthd2-shard8-us-east1-a-dg11
hd-srch-prod,solr-productv7-productthd2-shard8-us-east1-a-kcjf
hd-srch-prod,solr-productv7-productthd2-shard9-us-east1-a-12qn
hd-srch-prod,solr-productv7-productthd2-shard9-us-east1-a-lf7j
hd-srch-prod,solr-productv7-productthd2-shard9-us-east1-a-n121
hd-srch-prod,solr-productv7-productthd2-shard9-us-east1-a-qgwj
hd-srch-prod,solr-productv7-productthd2-shard9-us-east1-a-r9zs
hd-srch-prod,solr-rulev7-contentthd2-shard1-us-east1-a-srsv
hd-srch-prod,solr-rulev7-rulelivethd1-shard1-us-east1-a-47p8
hd-srch-prod,solr-rulev7-rulelivethd1-shard1-us-east1-a-nrl9
hd-srch-prod,solr-rulev7-rulelivethd1-shard1-us-east1-a-rsl9
hd-srch-prod,solr-rulev7-rulelivethd2-shard1-us-east1-a-2bm4
hd-srch-prod,solr-rulev7-rulelivethd2-shard1-us-east1-a-67w5
hd-srch-prod,solr-rulev7-rulelivethd2-shard1-us-east1-a-bkh7
hd-srch-prod,solr-rulev7-rulelivethd2-shard1-us-east1-a-z2k1
hd-srch-prod,solr-rulev7-ruleprethd2-shard1-us-east1-a-zmwf
hd-srch-prod,spellingtool-api-us-east1-a-1397
hd-srch-prod,spellingtool-api-us-east1-a-f732
hd-srch-prod,spellingtool-api-us-east1-a-tm79
hd-srch-prod,typeahead-service-v2-api-beta-us-east1-b-n6bj
hd-srch-prod,typeahead-service-v2-api-us-east1-a-9nfb
hd-srch-prod,typeahead-service-v2-api-us-east1-a-xk82
hd-srch-prod,typeahead-service-v2-api-us-east1-b-pf21
hd-srch-prod,validation-us-east1-api7-us-east1-b-2zvn
hd-srch-prod,vendor-orchestration-batch-us-east1-b-k9pc
hd-srch-prod,vendorclassifier-api-us-east1-a-3mgh
hd-srch-prod,vendorclassifier-api-us-east1-a-nwjj
hd-srch-prod,vendorclassifier-api-us-east1-a-rp6r
hd-srch-prod,vendorclassifier-api-us-east1-a-s9m6
hd-srch-prod,vendorsearch-api-beta-us-east1-a-jdps
hd-srch-prod,vendorsearch-api-us-east1-a-cp8c
